Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
TRIHEALTH,OH,MONTGOMERY,$155 ,"$55,582 ",$49 ,POINT (-84.35090600000001 39.248676)
Hunter Health Clinic I,KS,WICHITA,"$49,657 ",$218 ,$48 ,POINT (-97.335571 37.686024)
Doctors Care PA,SC,GREER,"$3,597 ","$1,465 ",$48 ,POINT (-82.229195 34.939311)
Doctors Care PA,SC,WEST COLUMBIA,"$6,805 ",$863 ,$48 ,POINT (-81.072884 33.987965)
Deckerville Community,MI,DECKERVILLE,$103 ,$41 ,$48 ,POINT (-82.734991 43.526685)
FRANKLIN PRIMARY HEALT,AL,BAY MINETTE,$0 ,$0 ,$48 ,POINT (-87.77545 30.881472)
BIG SANDY HEALTH CARE,KY,GRETHEL,$750 ,$76 ,$47 ,POINT (-82.647797 37.4911)
BIG SANDY HEALTH CARE,KY,SALYERSVILLE,"$3,197 ",$260 ,$47 ,POINT (-83.066955 37.748596)
CHEROKEE HEALTH SYSTEM,TN,TALBOTT,"$16,783 ",$403 ,$47 ,POINT (-83.408184 36.157407)
Ardas LLC,CO,AURORA,"$97,563 ","$44,041 ",$46 ,POINT (-104.819356 39.71121300000001)
ST FRANCOIS CO HEALTH,MO,PARK HILLS,$0 ,$0 ,$46 ,POINT (-90.520261 37.850971)
Houston Pulmonary Medi,TX,HOUSTON,$0 ,"$333,124 ",$46 ,POINT (-95.369506 29.760803)
MAYO CLINIC HLTH SYST,MN,LAKE CITY,"$14,789 ",$0 ,$45 ,POINT (-92.28978 44.465511)
CENTRAL FLORIDA HEALTH,FL,AVON PARK,"$98,322 ",$0 ,$44 ,POINT (-81.510305 27.602847)
RENE VELA MD,TX,ALAMO,$0 ,$0 ,$44 ,POINT (-98.122451 26.188087)
SAN JUAN COUNTY HOSPIT,UT,MONTICELLO,$0 ,$0 ,$43 ,POINT (-109.342899 37.874002)
FAMILY HEALTH CENTER,KS,LAKIN,"$45,984 ","$75,420 ",$42 ,POINT (-101.25545100000001 37.941332)
WILLIAM BURKE LTD,IA,DAVENPORT,$0 ,$0 ,$42 ,POINT (-90.577036 41.523527)
Doctors Care PA,SC,SURFSIDE BEACH,"$69,662 ","$13,646 ",$41 ,POINT (-78.97702 33.608745)
Divinity Medical Servi,NY,YORKTOWN HEIGHTS,"$138,050 ","$12,463 ",$41 ,POINT (-73.7782 41.272299)
AHS OKLAHOMA PHYS GROU,OK,JENKS,$0 ,$51 ,$40 ,POINT (-95.969569 36.022588)
NORTH HUDSON COMMUNITY,NJ,WEST NEW YORK,"$875,640 ","$21,453 ",$39 ,POINT (-74.009287 40.785538)
FLORIDA COMMUNITY HEAL,FL,PORT SAINT LUCIE,"$7,244 ",$48 ,$35 ,POINT (-80.342148 27.273274000000004)
JFK Pediatrics,FL,LAKE WORTH,"$1,242 ",$256 ,$35 ,POINT (-80.058568 26.609859)
EAST BAY COMMUNITY ACT,RI,RIVERSIDE,$955 ,$0 ,$35 ,POINT (-71.365303 41.7672)
JUNAID A KHAN MD PA,TX,WEBSTER,$0 ,$0 ,$35 ,POINT (-95.12788800000001 29.537168999999995)
LEE MEMORIAL HEALTH SY,FL,ESTERO,$0 ,$79 ,$35 ,POINT (-81.804994 26.43765)
CVS PHARMACY,CT,UNCASVILLE,$0 ,$0 ,$34 ,POINT (-72.110298 41.434399)
Mid Columbia Family Ph,WA,STEVENSON,"$22,945 ",$619 ,$34 ,POINT (-121.883899 45.693555)
Topcare Medical Group,TX,DALLAS,$0 ,$0 ,$34 ,POINT (-96.796215 32.777977)
CVS PHARMACY,MN,MINNEAPOLIS,$0 ,$0 ,$34 ,POINT (-93.264346 44.977479)
Neighborhood Healthsou,MN,MINNEAPOLIS,"$5,298 ",$134 ,$34 ,POINT (-93.264346 44.977479)
Southern Illinois Heal,IL,O FALLON,"$2,264 ","$1,514 ",$33 ,POINT (-89.910865 38.590174)
PIEDMONT HEALTH SERVIC,NC,PROSPECT HILL,"$4,846 ",$930 ,$33 ,POINT (-79.191101 36.249199)
AUSTIN REGIONAL CLINIC,TX,KYLE,"$78,537 ","$5,540 ",$33 ,POINT (-97.874273 29.987408)
WAYNE MEMORIAL COMMUNI,PA,TAFTON,$0 ,$74 ,$33 ,POINT (-75.183296 41.4044)
UNIVERSITY OF TEXAS RI,TX,MERCEDES,"$441,577 ","$99,171 ",$33 ,POINT (-97.921709 26.149094)
NORTH FLORIDA MEDICAL,FL,QUINCY,"$1,884 ",$587 ,$33 ,POINT (-84.588465 30.588116)
NORTH FLORIDA MEDICAL,FL,TALLAHASSEE,"$3,577 ",$90 ,$33 ,POINT (-84.278328 30.440741)
BSA AMARILLO DIAGNOSTI,TX,AMARILLO,$0 ,"$24,477 ",$33 ,POINT (-101.832013 35.207009)
MY DR NOW,AZ,SAN TAN VALLEY,"$2,912 ",$0 ,$33 ,POINT (-111.563002 33.161178)
TAMPA FAMILY HELATH CE,FL,TAMPA,$783 ,$0 ,$33 ,POINT (-82.458776 27.947423)
CHERRY STREET HEALTH S,MI,GRAND RAPIDS,"$35,849 ","$3,289 ",$32 ,POINT (-85.670209 42.965446)
CVS PHARMACY,LA,SHREVEPORT,$0 ,$0 ,$32 ,POINT (-93.747757 32.51424)
Doctors Care PA,SC,MYRTLE BEACH,"$4,394 ",$796 ,$32 ,POINT (-78.883852 33.68785)
CHEROKEE HEALTH SYSTEM,TN,BLAINE,"$6,444 ",$136 ,$32 ,POINT (-83.703273 36.155737)
Cotton ONeil Clinic,KS,TOPEKA,"$13,484 ",$157 ,$32 ,POINT (-95.67043300000002 39.050976)
FORDLAND CLINIC INC,MO,KIMBERLING CITY,$197 ,$0 ,$31 ,POINT (-93.421494 36.640099)
Barnes Healthcare Serv,GA,VALDOSTA,$0 ,$0 ,$31 ,POINT (-83.278796 30.830747)
AHS OKLAHOMA HEART LLC,OK,TULSA,$0 ,"$29,811 ",$31 ,POINT (-95.992083 36.155327)
HERMANN AREA HOSPITAL,MO,OWENSVILLE,"$21,633 ","$3,043 ",$31 ,POINT (-91.499229 38.345043)
Power Family Enterpris,AR,NASHVILLE,$0 ,$0 ,$31 ,POINT (-93.84700900000001 33.948285)
AHS OKLAHOMA PHYS GROU,OK,TULSA,$0 ,"$6,474 ",$31 ,POINT (-95.992083 36.155327)
Community Health Clini,ID,NAMPA,$304 ,$0 ,$31 ,POINT (-116.57358100000002 43.585322)
TOTAL ACCESS URGENT CA,MO,SAINT LOUIS,"$627,443 ","$45,021 ",$28 ,POINT (-90.200309 38.630276)
Mayo Clinic Heatlth Sy,WI,SPARTA,"$39,316 ","$4,516 ",$27 ,POINT (-90.810923 43.944411)
HealthPoint Family Car,KY,COVINGTON,"$10,411 ","$3,076 ",$26 ,POINT (-84.508483 39.083687)
MEDICAL SPECIALISTS IN,GA,WAYNESBORO,"$30,255 ","$7,702 ",$26 ,POINT (-82.015848 33.09004)
TUG RIVER HEALTH ASSOC,WV,PINEVILLE,"$9,793 ",$872 ,$26 ,POINT (-81.540571 37.582487)
NEW YORK UNIVERSITY,NY,NEW HYDE PARK,$0 ,$170 ,$20 ,POINT (-73.688398 40.735251)
Valley Physician Servi,NJ,WALDWICK,$157 ,"$1,326 ",$20 ,POINT (-74.130666 41.010465)
NORTH HUDSON COMMUNITY,NJ,UNION CITY,"$5,050 ","$19,668 ",$20 ,POINT (-74.023575 40.779442)
SHORE MEMORIAL PHYSICI,NJ,MARGATE CITY,$0 ,$246 ,$19 ,POINT (-74.498494 39.33026400000001)
JEWISH RENAISSANCE MED,NJ,EAST ORANGE,"$39,495 ","$5,922 ",$19 ,POINT (-74.208445 40.761664)
Healthy Living Medical,CA,PASADENA,$0 ,$0 ,$19 ,POINT (-118.141452 34.14955)
RITE AID CORPORATION,PA,ETTERS,$0 ,$0 ,$19 ,POINT (-76.793701 40.153599)
Sutter Bay Medical Fou,CA,SANTA ROSA,$0 ,$0 ,$19 ,POINT (-122.71564199999999 38.439698)
H Street Clinic Inc,CA,INGLEWOOD,"$254,057 ","$5,415 ",$18 ,POINT (-118.353336 33.961767)
GOLDEN VALLEY HEALTH C,CA,DOS PALOS,"$4,719 ","$12,867 ",$18 ,POINT (-120.63556999999999 36.984887)
Asian Human Services F,IL,CHICAGO,"$44,345 ","$7,918 ",$18 ,POINT (-87.632398 41.88322900000001)
GRAND RIVER MEDICAL CE,CO,RIFLE,"$10,108 ","$94,485 ",$18 ,POINT (-107.783302 39.533485)
Premier Healthcare,NY,NEW YORK,"$4,874 ",$0 ,$17 ,POINT (-74.007228 40.713054)
TAMPA FAMILY HELATH CE,FL,TAMPA,$0 ,$0 ,$17 ,POINT (-82.458776 27.947423)
LEE MEMORIAL HEALTH SY,FL,LABELLE,$0 ,$0 ,$17 ,POINT (-81.433517 26.763857)
UNIVERSITY PHYSICIANS,AZ,TUCSON,"$6,645 ","$24,339 ",$17 ,POINT (-110.971225 32.221878)
Community Health Cente,FL,SAINT PETERSBURG,"$90,689 ","$6,217 ",$17 ,POINT (-82.638488 27.772069000000002)
Perham Health,MN,PERHAM,"$23,296 ","$3,118 ",$17 ,POINT (-95.574852 46.59808)
MATTHEWS VU MEDICAL GR,CO,COLORADO SPRINGS,"$42,113 ","$1,563 ",$17 ,POINT (-104.819798 38.835224)
LEE MEMORIAL HEALTH SY,FL,FORT MYERS,"$40,658 ","$46,085 ",$17 ,POINT (-81.825769 26.614149)
TAMPA FAMILY HELATH CE,FL,TAMPA,$308 ,$0 ,$17 ,POINT (-82.458776 27.947423)
Winters Healthcare Fou,CA,WINTERS,"$8,590 ","$1,099 ",$17 ,POINT (-121.968213 38.520695)
LEE MEMORIAL HEALTH SY,FL,BONITA SPRINGS,$0 ,$0 ,$17 ,POINT (-81.779077 26.345625)
SAN LUIS WALK IN CLINI,AZ,SAN LUIS,"$72,333 ","$5,252 ",$17 ,POINT (-111.954399 32.080299)
MAR MEDICAL CONSULTANT,FL,DELRAY BEACH,"$2,827 ",$193 ,$17 ,POINT (-80.073107 26.461634)
PALMS MEDICAL GROUP,FL,BELL,"$48,067 ","$1,336 ",$17 ,POINT (-82.863498 29.753999)
MARC A KAPLAN PLLC,AZ,SIERRA VISTA,$0 ,$0 ,$17 ,POINT (-110.281995 31.554692)
UNIVERSITY PHYSICIANS,AZ,TUCSON,$108 ,$240 ,$17 ,POINT (-110.971225 32.221878)
LEE MEMORIAL HEALTH SY,FL,FORT MYERS,$0 ,$0 ,$17 ,POINT (-81.825769 26.614149)
UPTOWN HOME MEDICAL,AZ,KINGMAN,$0 ,$0 ,$17 ,POINT (-114.053105 35.188579)
HUDSON HEADWATERS HEAL,NY,WARRENSBURG,"$13,575 ","$1,495 ",$17 ,POINT (-73.775872 43.496618)
NORTH FLORIDA MEDICAL,FL,CRESTVIEW,"$3,070 ",$236 ,$17 ,POINT (-86.562651 30.749649)
Topcare Medical Group,TX,LEWISVILLE,$0 ,$0 ,$17 ,POINT (-96.994166 33.046344)
FLORIDA COMMUNITY HEAL,FL,STUART,"$7,129 ",$797 ,$17 ,POINT (-80.236911 27.177909)
COMMUNITY HEALTH CENTE,CA,SANTA MARIA,"$3,435 ","$28,582 ",$17 ,POINT (-120.43588099999998 34.948403)
Neighborhood Healthsou,MN,MINNEAPOLIS,"$15,981 ",$427 ,$17 ,POINT (-93.264346 44.977479)
LEE MEMORIAL HEALTH SY,FL,FORT MYERS,"$6,319 ","$4,825 ",$17 ,POINT (-81.825769 26.614149)
LEE MEMORIAL HEALTH SY,FL,FORT MYERS,"$8,836 ","$5,052 ",$17 ,POINT (-81.825769 26.614149)
Good Samaritan Health,GA,ATLANTA,"$15,973 ","$3,019 ",$17 ,POINT (-84.391502 33.748547)
AUSTIN REGIONAL CLINIC,TX,AUSTIN,"$30,653 ","$1,243 ",$17 ,POINT (-97.746598 30.264979)
BIG HORN,WY,SHERIDAN,$0 ,$438 ,$17 ,POINT (-106.955897 44.795434)
CENTRAL FLORIDA HEALTH,FL,LAKELAND,"$16,612 ",$0 ,$17 ,POINT (-81.954113 28.040507)
LEE MEMORIAL HEALTH SY,FL,CAPE CORAL,$0 ,$79 ,$17 ,POINT (-81.956363 26.629814)
Infant Welfare Society,IL,CHICAGO,"$14,642 ","$3,877 ",$17 ,POINT (-87.632398 41.88322900000001)
MATTAWA COMMUNITY MEDI,WA,MATTAWA,"$49,590 ","$5,870 ",$17 ,POINT (-119.90233300000001 46.737796)
La Maestra Family Clin,CA,SAN DIEGO,"$34,029 ","$4,033 ",$17 ,POINT (-117.163817 32.71576)
Community Health Cente,FL,CLEARWATER,"$104,779 ","$9,359 ",$17 ,POINT (-82.799957 27.963991)
Topcare Medical Group,TX,GARLAND,$0 ,$0 ,$17 ,POINT (-96.636564 32.914343)
ROBERT C BYRD CLINIC,WV,LEWISBURG,"$13,355 ",$608 ,$16 ,POINT (-80.445414 37.801721)
Hometown Health Care o,PA,COVINGTON TOWNSHIP,$0 ,$0 ,$16 ,POINT (-77.07749900000002 41.744701)
PRIMARY CARE CENTER OF,AL,MONROEVILLE,$399 ,$0 ,$16 ,POINT (-87.323222 31.522470000000002)
AHS OKLAHOMA PHYS GROU,OK,TULSA,$0 ,$109 ,$16 ,POINT (-95.992083 36.155327)
Keystone Rural Health,PA,EMPORIUM,$119 ,$74 ,$16 ,POINT (-78.237744 41.511553)
SHURMED EMS LLC,TX,SAN ANTONIO,$0 ,$0 ,$16 ,POINT (-98.494599 29.425172999999997)
Rapid Care,AL,ALBERTVILLE,$0 ,$0 ,$16 ,POINT (-86.208805 34.267848)
ACUTE CARE HOUSE CALLS,NM,JARALES,"$36,552 ","$26,391 ",$16 ,POINT (-106.76238100000002 34.621427)
Doctors Care PA,SC,MYRTLE BEACH,"$7,209 ","$1,873 ",$16 ,POINT (-78.883852 33.68785)
WILLARD A SNYDER JR MD,GA,BRUNSWICK,$0 ,$105 ,$16 ,POINT (-81.50248 31.168992)
AHS OKLAHOMA PHYS GROU,OK,OWASSO,$0 ,$193 ,$16 ,POINT (-95.855 36.266086)
BELOIT AREA COMMUNITY,WI,BELOIT,"$15,820 ","$2,976 ",$16 ,POINT (-89.033615 42.499646000000006)
PIEDMONT HEALTH SERVIC,NC,BURLINGTON,"$25,911 ","$2,173 ",$16 ,POINT (-79.433217 36.099177)
Doctors Care PA,SC,AIKEN,$155 ,$0 ,$16 ,POINT (-81.71615 33.563871)
AHS OKLAHOMA HEART LLC,OK,TULSA,$0 ,$312 ,$16 ,POINT (-95.992083 36.155327)
DLP CONEMAUGH PHYSICIA,PA,PORTAGE,$0 ,$0 ,$16 ,POINT (-78.67291400000002 40.386564)
COMMUNITY PHARMACIES L,ME,SACO,$0 ,$0 ,$16 ,POINT (-70.443035 43.500747)
ANMED HEALTH,SC,ANDERSON,"$96,196 ","$973,725 ",$16 ,POINT (-82.651189 34.49987)
Mayo Clinic Heatlth Sy,WI,LA CROSSE,"$113,934 ","$103,750 ",$16 ,POINT (-91.25186 43.808767)
TUG RIVER HEALTH ASSOC,WV,GARY,"$14,489 ","$5,211 ",$16 ,POINT (-81.551936 37.36609)
Hook SupeRX LLC,IN,FORT WAYNE,$0 ,$0 ,$16 ,POINT (-85.137495 41.077474)
OAKLEAF CLINICS SC EAU,WI,EAU CLAIRE,$230 ,"$7,538 ",$16 ,POINT (-91.49917 44.812135)
CAHABA MEDICAL CARE FO,AL,CENTREVILLE,"$148,223 ","$2,700 ",$16 ,POINT (-87.135256 32.944867)
PRIMARY CARE SERVICES,AL,ONEONTA,$0 ,$0 ,$16 ,POINT (-86.476538 33.945504)
KIAMICHI FAMILY MEDICA,OK,IDABEL,"$28,850 ","$7,115 ",$16 ,POINT (-94.825128 33.894995)
WARREN CLINIC INC,OK,TULSA,$0 ,"$5,773 ",$16 ,POINT (-95.992083 36.155327)
Topcare Medical Group,TX,IRVING,"$1,703 ",$683 ,$16 ,POINT (-96.949933 32.813879)
AHS OKLAHOMA PHYS GROU,OK,GLENPOOL,$0 ,$0 ,$16 ,POINT (-96.008822 35.95517)
AUSTIN REGIONAL CLINIC,NY,REGO PARK,"$75,637 ","$3,410 ",$16 ,POINT (-73.853104 40.726398)
AHS OKLAHOMA PHYS GROU,OK,BROKEN ARROW,$0 ,$522 ,$16 ,POINT (-95.790808 36.052449)
FRANKLIN PRIMARY HEALT,AL,GILBERTOWN,$0 ,$0 ,$16 ,POINT (-88.321454 31.876127)
Baldwin Family Health,MI,GRANT,"$9,446 ",$62 ,$16 ,POINT (-85.809176 43.33506400000001)
La Esperanza Clinc,TX,SAN ANGELO,"$14,462 ","$1,752 ",$16 ,POINT (-100.437304 31.46378)
SCRANTON PRIMARY HEALT,PA,SCRANTON,$559 ,$288 ,$16 ,POINT (-75.662346 41.409113)
FRANKLIN PRIMARY HEALT,AL,MOBILE,$0 ,$0 ,$16 ,POINT (-88.044822 30.688943)
VARIETY CARE INC,OK,OKLAHOMA CITY,$241 ,$175 ,$16 ,POINT (-97.521264 35.468494)
SJD Pharmacy Inc,AR,SEARCY,$0 ,$0 ,$15 ,POINT (-91.736336 35.250783)
BOLIVAR PHYSICIAN PRAC,MS,CLEVELAND,"$3,857 ","$10,591 ",$15 ,POINT (-90.721696 33.747697)
SIMPSON GENERAL HOSPIT,MS,MENDENHALL,"$16,708 ","$10,046 ",$15 ,POINT (-89.870271 31.960527999999996)
Medi Quik Pharmacy Inc,AR,OZARK,$0 ,$0 ,$15 ,POINT (-93.827202 35.486907)
HATTIESBURG CLINIC,MS,HATTIESBURG,"$55,010 ","$120,034 ",$15 ,POINT (-89.289635 31.326447)
SHANNON CLINIC,TX,SAN ANGELO,"$43,622 ","$12,199 ",$14 ,POINT (-100.437304 31.46378)
Doctors Care PA,SC,MAULDIN,"$7,448 ","$1,112 ",$14 ,POINT (-82.29695 34.784057)
MOREHOUSE COMMUNITY ME,LA,BASTROP,"$29,875 ","$5,576 ",$13 ,POINT (-91.910257 32.777321)
CHW,CA,FOLSOM,"$17,477 ","$24,762 ",$0 ,POINT (-121.163738 38.681325)
MONTE VISTA COMMUNITY,CO,ALAMOSA,$0 ,$769 ,$0 ,POINT (-105.874293 37.468191000000004)
HEALTHONE CLINIC SERVI,CO,DENVER,$258 ,$380 ,$0 ,POINT (-104.984853 39.738453)
SUNIL LALLA,FL,FORT MYERS,$0 ,"$1,662 ",$0 ,POINT (-81.825769 26.614149)
PEDEM PLLC,FL,MIAMI,"$12,308 ","$1,326 ",$0 ,POINT (-80.194702 25.775084)
RURAL HEALTHCARE INC,FL,WELAKA,"$6,017 ",$0 ,$0 ,POINT (-81.668839 29.482388)
HEALTHSTONE PRIMARY CA,FL,WESTON,$174 ,$0 ,$0 ,POINT (-80.399941 26.100612)
PACIFIC MED AND NEPHRO,GU,SINAJANA,$0 ,$505 ,$0 ,
VITUITY IL AUC LLP,IL,HIGHLAND,$76 ,$202 ,$0 ,POINT (-89.67903900000002 38.739405)
SLUCARE,IL,MARYVILLE,$0 ,$139 ,$0 ,POINT (-89.956563 38.726038)
BEREA URGENT CARE,KY,BEREA,"$127,827 ","$9,806 ",$0 ,POINT (-84.29678900000002 37.568457)
CPA LAB,KY,LOUISVILLE,"$607,514 ","$12,844 ",$0 ,POINT (-85.751569 38.256078)
MCLAREN,MI,FENTON,$50 ,$0 ,$0 ,POINT (-83.709884 42.79837)
NORTHCROSS FAMILY PHYS,NC,HUNTERSVILLE,$25 ,"$1,390 ",$0 ,POINT (-80.848994 35.410565)
MCPC16 LLC,NC,RAEFORD,$438 ,$0 ,$0 ,POINT (-79.224111 34.978744)
PRAVIN PATEL MD,NY,BRONX,$400 ,$540 ,$0 ,POINT (-73.920265 40.826153)
VLADIMIR ZELENKO,NY,POMONA,$94 ,$76 ,$0 ,POINT (-74.057883 41.172852)
CHEROKEE NATION,OK,NOWATA,$51 ,$0 ,$0 ,POINT (-95.639223 36.70091)
AHPAFFS LLC,PA,PHILADELPHIA,"$14,937 ",$0 ,$0 ,POINT (-75.16562 39.951061)
IAHIAR PA,TX,EL PASO,$0 ,"$35,820 ",$0 ,POINT (-106.492257 31.76006)
PRADYUMNA MUMMADY,TX,LAREDO,$0 ,"$57,660 ",$0 ,POINT (-99.507505 27.507114)
MAYO CLINIC ARIZONA,UT,SALT LAKE CITY,$382 ,$175 ,$0 ,POINT (-111.888142 40.758478)
CARILION HEALTHCARE CO,VA,PEARISBURG,$0 ,$702 ,$0 ,POINT (-80.73517 37.326344)
CUMBERLAND COUNTY HOSP,NC,LILLINGTON,$0 ,"$4,793 ",$0 ,POINT (-78.818626 35.392757)
UNIVERSITY HEALTHCARE,CA,MOUNTAIN VIEW,$131 ,$87 ,$0 ,POINT (-122.08138999999998 37.39008)
INDIANA PHYSICIAN MANA,IN,INDIANAPOLIS,"$3,256 ",$689 ,$0 ,POINT (-86.156212 39.76845)
PEACE HEALTH MEDICAL G,WA,BURLINGTON,$185 ,$0 ,$0 ,POINT (-122.32478500000002 48.476946)
CHI ST VINCENT HOSPITA,AR,HOT SPRINGS NATIONAL,$0 ,$100 ,$0 ,POINT (-93.055659 34.502785)
NEPHROLOGY ASSOCIATES,NC,ELKIN,$0 ,$200 ,$0 ,POINT (-80.851666 36.248106)
GREENVILLE COUNTY EMS,SC,GREENVILLE,$0 ,"$11,538 ",$0 ,POINT (-82.398964 34.850746)
HARRIS HEALTH SYSTEM,TX,HOUSTON,$23 ,$0 ,$0 ,POINT (-95.369506 29.760803)
FARZIN FARHANGNEJAD MD,NV,HENDERSON,$0 ,$354 ,$0 ,POINT (-114.98445500000001 36.034095)
EPHRATA COMMUNITY HOSP,PA,EPHRATA,"$19,555 ","$5,253 ",$0 ,POINT (-76.177488 40.17885400000001)
UES GEAUGA LLC,OH,CHARDON,$880 ,"$5,719 ",$0 ,POINT (-81.204369 41.58096)
LOS ALAMOS MEDICAL CEN,NM,LOS ALAMOS,$0 ,"$53,809 ",$0 ,POINT (-106.307723 35.881943)
MEDPOST URGENT CARE LA,AZ,GILBERT,"$17,255 ","$1,130 ",$0 ,POINT (-111.79034 33.330732)
FISCHER FAMILY MEDICIN,AL,ASHLAND,$574 ,$461 ,$0 ,POINT (-85.835406 33.273894)
FREDERICK COUNTY DIVIS,MD,FREDERICK,$0 ,"$11,954 ",$0 ,POINT (-77.410935 39.414181)
YAKIMA VALLEY MEMORIAL,WA,YAKIMA,"$9,095 ","$10,528 ",$0 ,POINT (-120.506093 46.602234)
PINDER AND GOMEZ MD PA,NJ,WEST ORANGE,$0 ,"$2,882 ",$0 ,POINT (-74.26974500000001 40.792503)
TIMBERLAND MEDICAL GRO,TX,LAGO VISTA,$510 ,$0 ,$0 ,POINT (-97.987101 30.453909999999997)
ONE SKY FAMILY MEDICIN,WA,SEATTLE,$339 ,$0 ,$0 ,POINT (-122.33028000000002 47.603229)
CHG HOSPITAL MCALLEN,TX,MCALLEN,$0 ,"$30,345 ",$0 ,POINT (-98.235698 26.196695)
SAINT PETERS HEALTHCAR,NJ,PISCATAWAY,$0 ,"$6,427 ",$0 ,POINT (-74.474116 40.543875)
PREMIER MEDICAL ASSOCI,FL,THE VILLAGES,"$28,978 ","$1,159 ",$0 ,POINT (-81.959137 28.932808000000005)
TANNER MEDICAL CENTER,GA,CARROLLTON,"$81,537 ","$740,894 ",$0 ,POINT (-85.077583 33.580312)
MD CARE CENTER SC,IL,CHICAGO,"$10,329 ","$9,810 ",$0 ,POINT (-87.632398 41.88322900000001)
PIEDMONT HOSPITAL,GA,ATLANTA,"$163,630 ","$2,141,740 ",$0 ,POINT (-84.391502 33.748547)
OKLAHOMA HEART HOSPITA,OK,OKLAHOMA CITY,$170 ,$0 ,$0 ,POINT (-97.521264 35.468494)
LEHIGH VALLEY PHYSICIA,PA,PALMERTON,"$21,783 ","$6,644 ",$0 ,POINT (-75.609635 40.805588)
FRANCISCAN CARE SERVIC,NE,WEST POINT,"$2,861 ","$40,927 ",$0 ,POINT (-96.71077800000002 41.83927)
NEW ORLEANS PHYSICIAN,LA,NEW ORLEANS,$0 ,$53 ,$0 ,POINT (-90.074948 29.950621)
ABBOTT NORTHWESTERN HO,MN,ANOKA,"$12,520 ","$1,164 ",$0 ,POINT (-93.385391 45.197978)
VIRGINIA HOSPITAL CENT,VA,ALEXANDRIA,$750 ,$0 ,$0 ,POINT (-77.043614 38.804665)
SSM MEDICAL GROUP INC,MO,SAINT CHARLES,$0 ,$125 ,$0 ,POINT (-90.486926 38.781153)
CHRIST COMMUNITY HEALT,TN,MEMPHIS,$227 ,"$6,398 ",$0 ,POINT (-90.052136 35.143378)
ACUPATH LABORATORIES I,NY,PLAINVIEW,"$96,878 ",$0 ,$0 ,POINT (-73.468453 40.776415)
OPTIMUM MEDICAL CLINIC,CA,NEWPORT BEACH,"$1,843 ",$105 ,$0 ,POINT (-117.930378 33.615967)
EPIC URGENT CARE PC,IL,PALATINE,"$6,829 ",$299 ,$0 ,POINT (-88.043769 42.110415)
INOVA HEALTH CARE SERV,VA,FALLS CHURCH,"$364,306 ","$7,898,638 ",$0 ,POINT (-77.173697 38.88393400000001)
UNIVERSITY PHYSICIANS,CO,AURORA,$310 ,$0 ,$0 ,POINT (-104.819356 39.71121300000001)
BRUNSWICK PHYSICIAN PA,NC,BOLIVIA,"$60,944 ","$10,187 ",$0 ,POINT (-78.147006 34.069229)
GOSHEN GENERAL HOSPITA,IN,GOSHEN,"$172,539 ","$802,945 ",$0 ,POINT (-85.834392 41.581218)
FOUNDCARE INC,FL,WEST PALM BEACH,$657 ,$35 ,$0 ,POINT (-80.054947 26.714439)
RADIOLOGY ASSOCIATES O,PA,PAOLI,$231 ,"$1,227 ",$0 ,POINT (-75.485762 40.041849)
MD24 CA INC,CA,ANAHEIM,"$568,598 ","$32,121 ",$0 ,POINT (-117.915638 33.834492)
BELOVED COMMUNITY FAMI,VA,VIRGINIA BEACH,$57 ,$0 ,$0 ,POINT (-75.975518 36.845117)
HILL COUNTRY EMERGENCY,TX,SAN MARCOS,"$8,029 ","$2,209 ",$0 ,POINT (-97.939985 29.882083000000005)
ST JOSEPH HEALTH NORTH,CA,FORTUNA,"$3,137 ",$89 ,$0 ,POINT (-124.14685800000001 40.58858)
BOROUGH OF NORTH PLAIN,NJ,NORTH PLAINFIELD,$0 ,"$1,531 ",$0 ,POINT (-74.433172 40.624064)
METHODIST HEALTHCARE,TN,MEMPHIS,"$286,098 ","$790,796 ",$0 ,POINT (-90.052136 35.143378)
FMC URGENT CARE LLC,FL,ZEPHYRHILLS,"$23,438 ",$367 ,$0 ,POINT (-82.179884 28.236534)
THE EMORY CLINIC,GA,ATLANTA,"$10,073 ","$410,186 ",$0 ,POINT (-84.391502 33.748547)
CHARLESTON AREA MEDICA,WV,WINFIELD,$36 ,$0 ,$0 ,POINT (-81.889618 38.535652)
BANNER HOSPITAL BASED,AZ,PHOENIX,$0 ,"$20,406 ",$0 ,POINT (-112.072585 33.448204)
OUR LADY OF THE LAKE P,LA,SAINT AMANT,$154 ,$0 ,$0 ,POINT (-93.71848 32.019058)
PROVIDENCE HEALTH AND,CA,TORRANCE,"$130,733 ","$249,456 ",$0 ,POINT (-118.34003800000002 33.836318)
CIMPAR,IL,CHICAGO,$0 ,$79 ,$0 ,POINT (-87.632398 41.88322900000001)
PLATTE VALLEY MEDICAL,NE,KEARNEY,"$12,974 ","$116,816 ",$0 ,POINT (-99.082969 40.701497)
INTEGRIS CLINTON REGIO,OK,WEATHERFORD,$53 ,$0 ,$0 ,POINT (-98.704959 35.526058)
COMPLETE CARE MEDICAL,TX,SAN ANTONIO,$0 ,$901 ,$0 ,POINT (-98.494599 29.425172999999997)
WILLIS KNIGHTON HEALTH,LA,SHREVEPORT,$0 ,"$488,968 ",$0 ,POINT (-93.747757 32.51424)
